Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory,Population
Gregory W. Meeks,2,D,NY.D5,76072,90.4,481735
Hakeem Jeffries,2,D,NY.D8,77566,83.8,509530
Jackie Walorski,2,R,IN.D2,144442,20.6,517329
Jared Huffman,2,D,CA.D2,158913,47.8,521163
Jason Smith,2,R,MO.D8,159179,42.4,572287
Jim Bridenstine,2,R,OK.D1,0,0,545736
Joaquin Castro,2,D,TX.D20,87938,51.4,493544
John Delaney,2,D,MD.D6,184474,1.2,509724
Joseph Kennedy III,2,D,MA.D4,0,0,546048
Joyce Beatty,2,D,OH.D3,139343,27.8,522690
Juan Vargas,2,D,CA.D51,75068,37.6,406978
Julia Brownley,2,D,CA.D26,157326,1.6,458431
Katherine Clark,2,D,MA.D5,0,0,512417
Keith Rothfus,2,R,PA.D12,213544,18.6,552369
Kevin Cramer,2,R,ND.D1,247400,17.1,558906
Kyrsten Sinema,2,D,AZ.D9,161712,12.8,522139
Lois Frankel,2,D,FL.D21,0,0,508369
Luke Messer,2,R,IN.D6,153384,36.5,546625
Marc Veasey,2,D,TX.D33,50550,73,334620
Mark Meadows,2,R,NC.D11,228556,25.8,581585
Mark Pocan,2,D,WI.D2,327851,37,552067
Mark Sanford,2,R,SC.D1,0,0,546883
Mark Takano,2,D,CA.D41,77082,12,436965
Markwayne Mullin,2,R,OK.D2,158245,45.4,562756
Matt Cartwright,2,D,PA.D17,164096,13.6,546192
Michelle Lujan Grisham,2,D,NM.D1,175037,17,501503
Paul Cook,2,R,CA.D8,110092,35.6,473665
Randy Weber,2,R,TX.D14,145321,25.7,504315
Raul Ruiz,2,D,CA.D36,126415,7.6,467413
Richard Hudson,2,R,NC.D8,185616,29.8,533741
Rick Nolan,2,D,MN.D8,265591,1.4,517090
Robert Pittenger,2,R,NC.D9,0,0,562143
Robin Kelly,2,D,IL.D2,195944,56,514712
Rodney Davis,2,R,IL.D13,208787,17.4,547881
Roger Williams,2,R,TX.D25,177558,24,533142
Ron DeSantis,2,R,FL.D6,265564,25,576242
Scott Perry,2,R,PA.D4,196300,49,545173
Scott Peters,2,D,CA.D52,190740,3.2,532812
Sean Maloney,2,D,NY.D18,170171,1.6,514446
Susan Brooks,2,R,IN.D5,161349,34.4,539758
Ted Yoho,2,R,FL.D3,228365,22.7,550771
Thomas Massie,2,R,KY.D4,222157,35.4,551671
Tom Rice,2,R,SC.D7,170988,20,525570
Tony Cardenas,2,D,CA.D29,55837,48.4,384219
Tulsi Gabbard,2,D,HI.D2,180290,60.1,510765
Alma Adams,1,D,NC.D12,171306,50.8,514436
Bradley Byrne,1,R,AL.D1,151233,36.6,524062
David Brat,1,R,WV.D7,243037,24,559057
Donald Norcross,1,D,NJ.D1,160227,15.8,537434
Alexander Mooney,0,R,WV.D2,153418,3.2,487355
Barbara Comstock,0,R,WV.D10,222538,16.2,519024
Barry Loudermilk,0,R,GA.D11,0,0,499348
Bonnie Watson Coleman,0,D,NJ.D12,147302,24.3,482862
Brenda Lawrence,0,D,MI.D14,212582,58,502926
Brendan Boyle,0,D,PA.D13,182814,34.2,512871
Brian Babin,0,R,TX.D36,132845,54,499717
Bruce Poliquin,0,R,ME.D2,282333,5.3,522472
Bruce Westerman,0,R,AR.D4,205066,11.1,536962
Carlos Curbelo,0,R,FL.D26,160738,3,480466
Dan Newhouse,0,R,WA.D4,150634,1.8,422724
Daniel Donovan,0,R,NY.D11,101565,13.3,493662
Aaron Schock,6,R,IL.D18,244348,49.6,541109
David Rouzer,0,R,NC.D7,225515,22.3,566157
David Trott,0,R,MI.D11,246562,15.3,520799
David Young,0,R,IA.D3,280980,10.6,574946
Debbie Dingell,0,D,MI.D12,204981,33.7,515248
Don Beyer,0,D,WV.D8,203244,31.3,497992
"Earl ""Buddy"" Carter",0,R,GA.D1,153476,22.4,529816
Elise Stefanik,0,R,NY.D21,163375,21.7,553269
Evan Jenkins,0,R,WV.D3,139479,10.6,478038
French Hill,0,R,AR.D2,236974,8.3,556988
Garett Graves,0,R,LA.D6,222990,24.8,581779
Gary Palmer,0,R,AL.D6,177883,52.6,516381
Glenn Grothman,0,R,WI.D6,298621,15.9,546220
Jody Hice,0,R,GA.D10,196248,33,527408
John Katko,0,R,NY.D24,188669,19.8,544017
John Moolenaar,0,R,MI.D4,220154,17.4,547776
John Ratcliffe,0,R,TX.D4,0,0,513657
Kathleen M. Rice,0,D,NY.D4,161809,5.4,495568
Ken Buck,0,R,CO.D4,284086,35.6,531130
Lee Zeldin,0,R,NY.D1,163424,9.6,528214
Mark DeSaulnier,0,D,CA.D11,160012,33.8,486352
Mark Walker,0,R,NC.D6,249414,17.4,565343
Martha McSally,0,R,AZ.D2,216281,0,528478
Mia Love,0,R,UT.D4,128687,3.2,475312
Mike Bishop,0,R,MI.D8,241719,12.9,534983
Mike Bost,0,R,IL.D12,202045,11.1,539589
Mimi Walters,0,R,CA.D45,158229,30.4,506710
Norma Torres,0,D,CA.D35,58463,26.6,417052
Pete Aguilar,0,D,CA.D31,95322,2.8,451177
Ralph Abraham,0,R,LA.D5,209620,28.4,562494
Rick Allen,0,R,GA.D12,166110,9.6,520689
Rod Blum,0,R,IA.D1,287239,2.4,579070
