Geography,Total Citizen Count,Total State Pop,Male: - 18+Native,Male: - 18 + Naturalized,Female: - 18 +Native,Female: - 18 + Naturalized
"D8, New York",509530,,153380,71537,191838,92775
"D9, New York",478971,,141895,73763,158865,104448
"D10, New York",477982,,175281,51433,187768,63500
"D11, New York",493662,,169980,62108,190438,71136
"D12, New York",546242,,213262,40992,237841,54147
"D13, New York",476529,,160324,53539,187969,74697
"D14, New York",411397,,131689,70486,132894,76328
"D15, New York",393754,,126073,43845,164247,59589
"D16, New York",476347,,166757,51472,190118,68000
"D17, New York",476041,,184213,38610,206260,46958
"D18, New York",514446,,231924,21583,234407,26532
"D19, New York",553688,,264436,11354,263181,14717
"D20, New York",559932,,252455,15171,275054,17252
"D21, New York",553269,,277438,6042,263638,6151
"D22, New York",549521,,260173,8799,269822,10727
"D23, New York",556166,,267774,4892,276914,6586
"D24, New York",544017,,251777,10404,271389,10447
"D25, New York",543462,,243768,13093,268585,18016
"D26, New York",546098,,247607,10866,274098,13527
"D27, New York",557484,,268308,5333,277478,6365
"D1, North Carolina",543194,,244094,4492,289937,4671
"D2, North Carolina",540721,,252630,11015,263878,13198
"D3, North Carolina",574760,,287019,4650,278208,4883
"D4, North Carolina",558908,,245179,18804,275356,19569
"D5, North Carolina",555933,,256891,7623,284669,6750
"D6, North Carolina",565343,,259947,8073,287471,9852
"D7, North Carolina",566157,,265558,5930,287490,7179
"D8, North Carolina",533741,,251328,5951,269958,6504
"D9, North Carolina",562143,,248512,15753,278349,19529
"D10, North Carolina",561525,,260579,5873,288331,6742
"D11, North Carolina",581585,,273960,5825,295128,6672
"D12, North Carolina",514436,,221817,15318,263821,13480
"D13, North Carolina",544302,7202748,246171,11409,273144,13578
"D1, North Dakota",558906,,281274,4035,268757,4840
"D1, Ohio",530719,,247670,6633,269338,7078
"D2, Ohio",548991,,260051,3950,280598,4392
"D3, Ohio",522690,,231026,16580,261075,14009
"D4, Ohio",546078,,268108,2754,271516,3700
"D5, Ohio",557265,,262878,6425,281915,6047
"D6, Ohio",557994,,273326,1669,280652,2347
"D7, Ohio",550947,,264959,2461,280078,3449
"D8, Ohio",536604,,252756,5897,271829,6122
"D9, Ohio",535953,,246692,7110,273747,8404
"D10, Ohio",547317,,253605,5524,279305,8883
"D11, Ohio",524984,,231899,7651,275632,9802
"D12, Ohio",555693,,264329,9407,273578,8379
"D13, Ohio",551637,,257056,4972,284125,5484
"D14, Ohio",550470,,255979,9726,272507,12258
"D15, Ohio",567563,,278641,5860,276224,6838
"D16, Ohio",557066,,257435,9534,277897,12200
"D1, Oklahoma",545736,,251871,7623,277184,9058
"D2, Oklahoma",562756,,273087,2942,284491,2236
"D3, Oklahoma",567792,,276348,5178,280712,5554
"D4, Oklahoma",572153,,275078,6555,281697,8823
"D5, Oklahoma",538878,,247620,9053,269782,12423
"D1, Oregon",557541,,249136,20305,263090,25010
"D2, Oregon",579172,,276039,6362,287784,8987
"D3, Oregon",589878,,266398,21902,276519,25059
"D4, Oregon",604980,,291229,6300,299916,7535
"D5, Oregon",566960,,259684,15236,275856,16184
"D1, Pennsylvania",503068,,220466,17023,241668,23911
"D2, Pennsylvania",535071,,221007,12054,287858,14152
"D3, Pennsylvania",547218,,261053,4500,276682,4983
"D4, Pennsylvania",545173,,257891,7142,271890,8250
"D5, Pennsylvania",553022,,276870,3632,268672,3848
"D6, Pennsylvania",531432,,244961,11586,261369,13516
"D7, Pennsylvania",534287,,242581,13386,262256,16064
"D8, Pennsylvania",540283,,244597,16480,260890,18316
"D9, Pennsylvania",547942,,266400,1323,277752,2467
"D10, Pennsylvania",546655,,267019,5508,268285,5843
"D11, Pennsylvania",547217,,260150,7380,270270,9417
"D12, Pennsylvania",552369,,262393,4949,279095,5932
"D13, Pennsylvania",512871,,211667,31546,234207,35451
"D14, Pennsylvania",560817,,259055,6887,287141,7734
"D15, Pennsylvania",545535,,249666,12924,268874,14071
"D16, Pennsylvania",514349,,237435,9727,254340,12847
"D17, Pennsylvania",546192,,254577,10076,268278,13261
"D18, Pennsylvania",562866,,264102,5431,287455,5878
"D1, Rhode Island",380306,,161976,18007,179412,20911
"D2, Rhode Island",399286,,175677,14320,192781,16508
"D1, South Carolina",546883,,253397,7833,276398,9255
"D2, South Carolina",507628,,235777,5428,258460,7963
"D3, South Carolina",506486,,242281,3324,257863,3018
"D4, South Carolina",511904,,231576,9318,261252,9758
"D5, South Carolina",513516,,242050,4378,261812,5276
"D6, South Carolina",506992,,239853,4305,259700,3134
"D7, South Carolina",525570,,242197,4001,274378,4994
"D1, South Dakota",631691,,309423,4855,312653,4760
"D1, Tennessee",558016,,266402,2376,284750,4488
"D2, Tennessee",556327,,259628,5832,284688,6179
"D3, Tennessee",553589,,261135,4104,281471,6879
"D4, Tennessee",546603,,259095,4564,278647,4297
"D5, Tennessee",534402,,237315,13503,271146,12438
"D6, Tennessee",553267,,262315,4883,281684,4385
"D7, Tennessee",543725,,261888,5186,269005,7646
"D8, Tennessee",528017,,247101,4464,270861,5591
"D9, Tennessee",499286,,222555,5990,266058,4683
"D1, Texas",501570,,233444,7125,253812,7189
"D2, Texas",474293,,206685,30330,208872,28406
"D3, Texas",505636,,206139,36413,222731,40353
"D4, Texas",513657,,240769,7867,257779,7242
"D5, Texas",471140,,221264,13872,223018,12986
"D6, Texas",490781,,209026,20142,241748,19865
"D7, Texas",446836,,177502,35702,189757,43875
"D8, Texas",522996,,249619,14757,243671,14949
"D9, Texas",403515,,142323,41510,173723,45959
"D10, Texas",501401,,225192,21517,231125,23567
"D11, Texas",519838,,245699,12620,249972,11547
"D12, Texas",521689,,237413,13038,253241,17997
"D13, Texas",489252,,239739,7944,234154,7415
"D14, Texas",504315,,238201,14677,237189,14248
"D15, Texas",406410,,180033,19859,180880,25638
"D16, Texas",436849,,185925,31672,173544,45708
"D17, Texas",513721,,234423,13601,251756,13941
"D18, Texas",440331,,187276,23417,207647,21991
"D19, Texas",502226,,242099,8627,241924,9576
"D20, Texas",493544,,221859,17390,232962,21333
"D21, Texas",572035,,265925,13590,277346,15174
"D22, Texas",511801,,199966,49877,210488,51470
"D23, Texas",455846,,207672,20801,200434,26939
"D24, Texas",480360,,199681,29116,219415,32148
"D25, Texas",533142,,245028,12088,261165,14861
"D26, Texas",518586,,234741,17289,246870,19686
"D27, Texas",508771,,238811,8398,250356,11206
"D28, Texas",401847,,175180,18914,182419,25334
"D29, Texas",344891,,136793,30492,147912,29694
"D30, Texas",446147,,187514,17647,222712,18274
"D31, Texas",525555,,241676,15821,247242,20816
"D32, Texas",482994,,204677,29686,218360,30271
"D33, Texas",334620,,138021,24887,151954,19758
"D34, Texas",406249,,180461,20686,179804,25298
"D35, Texas",473168,,216027,14068,227802,15271
"D36, Texas",499717,,234994,12356,239595,12772
"D1, Utah",475612,,228436,8235,230376,8565
"D2, Utah",471705,,228352,9699,221604,12050
"D3, Utah",473631,,225849,8754,227039,11989
"D4, Utah",475312,,216906,14177,227282,16947
"D1, Vermont",493389,,235174,4903,246209,7103
"D1, Virginia",549780,,253087,17103,259565,20025
"D2, Virginia",552572,,260630,13263,258765,19914
"D3, Virginia",562378,,257203,8430,287592,9153
"D4, Virginia",558313,,265887,7966,273211,11249
"D5, Virginia",567281,,265585,5209,289174,7313
"D6, Virginia",574651,,267958,7158,293009,6526
"D7, Virginia",559057,,249656,15933,274317,19151
"D8, Virginia",497992,,200536,42391,205921,49144
"D9, Virginia",571777,,278326,3187,286492,3772
"D10, Virginia",519024,,215068,43419,212882,47655
"D11, Virginia",490084,,182275,55610,190462,61737
"D1, Washington",486335,,220433,20478,220272,25152
"D2, Washington",516484,,234248,22653,234036,25547
"D3, Washington",504467,,236306,11983,240232,15946
"D4, Washington",422724,,194075,15046,200776,12827
"D5, Washington",520235,,249496,6764,253970,10005
"D6, Washington",520371,,250865,10607,245315,13584
"D7, Washington",563293,,258539,22438,254791,27525
"D8, Washington",484022,,219502,18016,224210,22294
"D9, Washington",466510,,180434,49077,182714,54285
"D10, Washington",516205,,239814,12903,240166,23322
"D1, West Virginia",490472,,238726,1463,248096,2187
"D2, West Virginia",487355,,236310,2118,245262,3665
"D3, West Virginia",478038,1455865,231493,1007,243908,1630
"D1, Wisconsin",530360,,249870,9011,262647,8832
"D2, Wisconsin",552067,,261106,8993,272415,9553
"D3, Wisconsin",556346,,273514,3544,274441,4847
"D4, Wisconsin",497538,,220371,11807,252613,12747
"D5, Wisconsin",544525,,255559,7616,272974,8376
"D6, Wisconsin",546220,,267459,6120,266266,6375
"D7, Wisconsin",551030,,272600,3610,270488,4332
"D8, Wisconsin",538511,,261809,4413,267364,4925
"D1, Wyoming",432453,,216259,3020,208855,4319
