Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory
Jackie Walorski,4,R,IN.D2,277202,22.4
Jared Huffman,4,D,CA.D2,230542,54.2
Jason Smith,4,R,MO.D8,308656,51.7
Jim Bridenstine,4,R,OK.D1,0,0
Joaquin Castro,4,D,TX.D20,187514,59.4
John Delaney,4,D,MD.D6,302053,14.5
Joseph Kennedy III,4,D,MA.D4,373246,40
Joyce Beatty,4,D,OH.D3,277576,36.6
Juan Vargas,4,D,CA.D51,151608,43.8
Julia Brownley,4,D,CA.D26,248147,19.8
Katherine Clark,4,D,MA.D5,0,0
Keith Rothfus,4,R,PA.D12,351056,23.8
Kevin Cramer,4,R,ND.D1,336885,45.4
Kyrsten Sinema,4,D,AZ.D9,216418,22.2
Lois Frankel,4,D,FL.D21,333420,27.5
Luke Messer,4,R,IN.D6,296244,42.4
Marc Veasey,4,D,TX.D33,126070,47.4
Mark Meadows,4,R,NC.D11,357103,28.4
Mark Pocan,4,D,WI.D2,400049,37.4
Mark Sanford,4,R,SC.D1,318403,21.7
Mark Takano,4,D,CA.D41,180012,28.8
Markwayne Mullin,4,R,OK.D2,268537,47.4
Matt Cartwright,4,D,PA.D17,289485,7.6
Michelle Lujan Grisham,4,D,NM.D1,275441,30.2
Paul Cook,4,R,CA.D8,206689,25.4
Randy Weber,4,R,TX.D14,259155,23.8
Raul Ruiz,4,D,CA.D36,215301,22.8
Richard Hudson,4,R,NC.D8,319337,17.6
Rick Nolan,4,D,MN.D8,350538,15.6
Robert Pittenger,4,R,NC.D9,328995,16.6
Robin Kelly,4,D,IL.D2,287972,59.2
Rodney Davis,4,R,IL.D13,309987,8.6
Roger Williams,4,R,TX.D25,309223,16.9
Ron DeSantis,4,R,FL.D6,363857,17.2
Scott Perry,4,R,PA.D4,327930,32.2
Scott Peters,4,D,CA.D52,263664,12.8
Sean Maloney,4,D,NY.D18,270023,10.4
Susan Brooks,4,R,IN.D5,360900,27.2
Ted Yoho,4,R,FL.D3,341387,16.9
Thomas Massie,4,R,KY.D4,327986,42.6
Tom Rice,4,R,SC.D7,281204,21.4
Tony Cardenas,4,D,CA.D29,131535,50.4
Tulsi Gabbard,4,D,HI.D2,201582,62.2
Alma Adams,3,D,NC.D12,346693,34
Bradley Byrne,3,R,AL.D1,0,0
David Brat,3,R,WV.D7,376660,15.8
Donald Norcross,3,D,NJ.D1,298523,22.9
Alexander Mooney,2,R,WV.D2,240704,16.4
Barbara Comstock,2,R,WV.D10,385996,5.8
Barry Loudermilk,2,R,GA.D11,321173,35
Bonnie Watson Coleman,2,D,NJ.D12,259196,30.3
Brenda Lawrence,2,D,MI.D14,311080,59.8
Brendan Boyle,2,D,PA.D13,0,0
Brian Babin,2,R,TX.D36,229690,77.4
Bruce Poliquin,2,R,ME.D2,350147,9.8
Bruce Westerman,2,R,AR.D4,242890,49.8
Carlos Curbelo,2,R,FL.D26,280284,11.8
Dan Newhouse,2,R,WA.D4,211347,14.8
Daniel Donovan,2,R,NY.D11,216039,26.1
Darin LaHood,2,R,IL.D18,344442,44.4
David Rouzer,2,R,NC.D7,344277,22
David Trott,2,R,MI.D11,379278,12.7
David Young,2,R,IA.D3,389267,13.7
Debbie Dingell,2,D,MI.D12,327770,35.2
Don Beyer,2,D,WV.D8,358515,41.2
"Earl ""Buddy"" Carter",2,R,GA.D1,0,0
Elise Stefanik,2,R,NY.D21,248243,36.8
Evan Jenkins,2,R,WV.D3,205786,43.9
French Hill,2,R,AR.D2,301436,21.6
Garett Graves,2,R,LA.D6,331012,47.8
Gary Palmer,2,R,AL.D6,322193,49.6
Glenn Grothman,2,R,WI.D6,356518,14.4
Jody Hice,2,R,GA.D10,0,0
John Katko,2,R,NY.D24,279460,22
John Moolenaar,2,R,MI.D4,315744,29.5
John Ratcliffe,2,R,TX.D4,245142,76
Kathleen M. Rice,2,D,NY.D4,292617,18.8
Ken Buck,2,R,CO.D4,378598,32.3
Lee Zeldin,2,R,NY.D1,296322,18
Mark DeSaulnier,2,D,CA.D11,270818,43.6
Mark Walker,2,R,NC.D6,347453,18.6
Martha McSally,2,R,AZ.D2,278249,13.4
Mia Love,2,R,UT.D4,230702,11.8
Mike Bishop,2,R,MI.D8,366914,16.8
